題目,答案,答對回饋,答錯回饋,提示
"1 + 2 = ?",3,"答對了！真厲害！","哎呀，不對喔，再想想看。","從 1 往上數 2 個數字看看。"
"3 + 4 = ?",7,"完全正確！","這個答案好像不太對。","你可以先算 3+3 是多少。"
"5 + 2 = ?",7,"你太聰明了！","差一點就對了！","5 再加上 2 是多少呢？"
"6 + 3 = ?",9,"完美！","再試一次吧，你可以的！","6... 7, 8, 9"
"4 + 4 = ?",8,"答對了！","嗯... 這個答案需要修正一下。","這是一個雙倍的數字喔！"
"2 + 5 = ?",7,"太棒了！","不對喔，換個方向加看看 (5+2)。","從 5 往上數 2 個數字。"
"8 + 1 = ?",9,"正確！","再想想，8 的下一個數字是什麼？","只是加 1 而已喔！"
"3 + 3 = ?",6,"你答對了！","這個答案不對喔。","跟 3x2 是一樣的。"
"7 + 2 = ?",9,"非常好！","哎呀，錯了。","7... 8, 9"
"5 + 4 = ?",9,"完全正確！","嗯... 再算一次看看。","比 5+5 少 1。"
